acc,prec,rec,fsc,s,t
0.4225,0.555556,0.004805,0.009528,1.2,0.2
0.422222,0.526316,0.004805,0.009524,1.25,0.2
0.4225,0.55,0.005286,0.010471,1.3,0.2
0.4225,0.55,0.005286,0.010471,1.35,0.2
0.4225,0.55,0.005286,0.010471,1.4,0.2
0.4225,0.55,0.005286,0.010471,1.45,0.2
0.422222,0.533333,0.003844,0.007634,0,0.22
0.422222,0.533333,0.003844,0.007634,0.05,0.22
0.422222,0.533333,0.003844,0.007634,0.1,0.22
0.422222,0.533333,0.003844,0.007634,0.15,0.22
0.4225,0.571429,0.003844,0.007637,0.2,0.22
0.4225,0.571429,0.003844,0.007637,0.25,0.22
0.4225,0.571429,0.003844,0.007637,0.3,0.22
0.4225,0.571429,0.003844,0.007637,0.35,0.22
0.422222,0.538462,0.003364,0.006686,0.4,0.22
0.422222,0.538462,0.003364,0.006686,0.45,0.22
0.422222,0.538462,0.003364,0.006686,0.5,0.22
0.422222,0.538462,0.003364,0.006686,0.55,0.22
0.421944,0.5,0.003364,0.006683,0.6,0.22
0.421944,0.5,0.003364,0.006683,0.65,0.22
0.421944,0.5,0.003364,0.006683,0.7,0.22
0.421944,0.5,0.003364,0.006683,0.75,0.22
0.421944,0.5,0.003364,0.006683,0.8,0.22
0.421944,0.5,0.003364,0.006683,0.85,0.22
0.421944,0.5,0.003364,0.006683,0.9,0.22
0.422222,0.533333,0.003844,0.007634,0.95,0.22
0.4225,0.5625,0.004325,0.008584,1,0.22
0.4225,0.5625,0.004325,0.008584,1.05,0.22
0.4225,0.5625,0.004325,0.008584,1.1,0.22
0.4225,0.5625,0.004325,0.008584,1.15,0.22
0.4225,0.5625,0.004325,0.008584,1.2,0.22
0.4225,0.555556,0.004805,0.009528,1.25,0.22
0.4225,0.555556,0.004805,0.009528,1.3,0.22
0.422222,0.526316,0.004805,0.009524,1.35,0.22
0.422222,0.526316,0.004805,0.009524,1.4,0.22
0.422222,0.526316,0.004805,0.009524,1.45,0.22
0.422222,0.538462,0.003364,0.006686,0,0.24
0.422222,0.538462,0.003364,0.006686,0.05,0.24
0.4225,0.571429,0.003844,0.007637,0.1,0.24
0.4225,0.571429,0.003844,0.007637,0.15,0.24
0.4225,0.571429,0.003844,0.007637,0.2,0.24
0.4225,0.571429,0.003844,0.007637,0.25,0.24
0.422222,0.538462,0.003364,0.006686,0.3,0.24
0.422222,0.538462,0.003364,0.006686,0.35,0.24
0.422222,0.538462,0.003364,0.006686,0.4,0.24
0.422222,0.538462,0.003364,0.006686,0.45,0.24
0.422222,0.538462,0.003364,0.006686,0.5,0.24
0.422222,0.538462,0.003364,0.006686,0.55,0.24
0.422222,0.538462,0.003364,0.006686,0.6,0.24
0.422222,0.538462,0.003364,0.006686,0.65,0.24
0.422222,0.538462,0.003364,0.006686,0.7,0.24
0.421944,0.5,0.003364,0.006683,0.75,0.24
0.421944,0.5,0.003364,0.006683,0.8,0.24
0.421944,0.5,0.003364,0.006683,0.85,0.24
0.421944,0.5,0.003364,0.006683,0.9,0.24
0.421944,0.5,0.003364,0.006683,0.95,0.24
0.422222,0.533333,0.003844,0.007634,1,0.24
0.422222,0.533333,0.003844,0.007634,1.05,0.24
0.4225,0.5625,0.004325,0.008584,1.1,0.24
0.4225,0.5625,0.004325,0.008584,1.15,0.24
0.4225,0.5625,0.004325,0.008584,1.2,0.24
0.4225,0.5625,0.004325,0.008584,1.25,0.24
0.422778,0.588235,0.004805,0.009533,1.3,0.24
0.4225,0.555556,0.004805,0.009528,1.35,0.24
0.422222,0.526316,0.004805,0.009524,1.4,0.24
0.421944,0.5,0.004325,0.008576,1.45,0.24
0.422222,0.538462,0.003364,0.006686,0,0.26
0.422222,0.538462,0.003364,0.006686,0.05,0.26
0.422222,0.538462,0.003364,0.006686,0.1,0.26
0.422222,0.538462,0.003364,0.006686,0.15,0.26
0.421944,0.5,0.002883,0.005733,0.2,0.26
0.421944,0.5,0.002883,0.005733,0.25,0.26
0.422222,0.538462,0.003364,0.006686,0.3,0.26
0.422222,0.538462,0.003364,0.006686,0.35,0.26
0.422222,0.538462,0.003364,0.006686,0.4,0.26
0.422222,0.538462,0.003364,0.006686,0.45,0.26
0.422222,0.538462,0.003364,0.006686,0.5,0.26
0.422222,0.538462,0.003364,0.006686,0.55,0.26
0.422222,0.538462,0.003364,0.006686,0.6,0.26
0.422222,0.538462,0.003364,0.006686,0.65,0.26
0.422222,0.538462,0.003364,0.006686,0.7,0.26
0.422222,0.538462,0.003364,0.006686,0.75,0.26
0.422222,0.538462,0.003364,0.006686,0.8,0.26
0.422222,0.538462,0.003364,0.006686,0.85,0.26
0.421944,0.5,0.003364,0.006683,0.9,0.26
0.421944,0.5,0.003364,0.006683,0.95,0.26
0.421944,0.5,0.003364,0.006683,1,0.26
0.422222,0.533333,0.003844,0.007634,1.05,0.26
0.422222,0.533333,0.003844,0.007634,1.1,0.26
0.422222,0.533333,0.003844,0.007634,1.15,0.26
0.4225,0.5625,0.004325,0.008584,1.2,0.26
0.4225,0.5625,0.004325,0.008584,1.25,0.26
0.4225,0.5625,0.004325,0.008584,1.3,0.26
0.423056,0.625,0.004805,0.009537,1.35,0.26
0.423056,0.625,0.004805,0.009537,1.4,0.26
0.4225,0.5625,0.004325,0.008584,1.45,0.26
0.4225,0.583333,0.003364,0.006689,0,0.28
0.4225,0.583333,0.003364,0.006689,0.05,0.28
0.422222,0.545455,0.002883,0.005736,0.1,0.28
0.422222,0.545455,0.002883,0.005736,0.15,0.28
0.422222,0.545455,0.002883,0.005736,0.2,0.28
0.422222,0.545455,0.002883,0.005736,0.25,0.28
0.422222,0.545455,0.002883,0.005736,0.3,0.28
0.422222,0.545455,0.002883,0.005736,0.35,0.28
0.422222,0.545455,0.002883,0.005736,0.4,0.28
0.4225,0.583333,0.003364,0.006689,0.45,0.28
0.4225,0.583333,0.003364,0.006689,0.5,0.28
0.4225,0.583333,0.003364,0.006689,0.55,0.28
0.4225,0.583333,0.003364,0.006689,0.6,0.28
0.4225,0.583333,0.003364,0.006689,0.65,0.28
0.4225,0.583333,0.003364,0.006689,0.7,0.28
0.4225,0.583333,0.003364,0.006689,0.75,0.28
0.4225,0.583333,0.003364,0.006689,0.8,0.28
0.4225,0.583333,0.003364,0.006689,0.85,0.28
0.4225,0.583333,0.003364,0.006689,0.9,0.28
0.4225,0.583333,0.003364,0.006689,0.95,0.28
0.4225,0.583333,0.003364,0.006689,1,0.28
0.422778,0.615385,0.003844,0.007641,1.05,0.28
0.422778,0.615385,0.003844,0.007641,1.1,0.28
0.422778,0.615385,0.003844,0.007641,1.15,0.28
0.423056,0.666667,0.003844,0.007645,1.2,0.28
0.423333,0.692308,0.004325,0.008596,1.25,0.28
0.423056,0.642857,0.004325,0.008592,1.3,0.28
0.423056,0.642857,0.004325,0.008592,1.35,0.28
0.423333,0.666667,0.004805,0.009542,1.4,0.28
0.423056,0.642857,0.004325,0.008592,1.45,0.28
0.422222,0.545455,0.002883,0.005736,0,0.3
0.422222,0.545455,0.002883,0.005736,0.05,0.3
0.422222,0.545455,0.002883,0.005736,0.1,0.3
0.422222,0.545455,0.002883,0.005736,0.15,0.3
0.422222,0.545455,0.002883,0.005736,0.2,0.3
0.422222,0.545455,0.002883,0.005736,0.25,0.3
0.422222,0.545455,0.002883,0.005736,0.3,0.3
0.422222,0.545455,0.002883,0.005736,0.35,0.3
0.4225,0.6,0.002883,0.005739,0.4,0.3
0.4225,0.6,0.002883,0.005739,0.45,0.3
0.4225,0.6,0.002883,0.005739,0.5,0.3
0.4225,0.6,0.002883,0.005739,0.55,0.3
0.422778,0.636364,0.003364,0.006692,0.6,0.3
0.422778,0.636364,0.003364,0.006692,0.65,0.3
0.422778,0.636364,0.003364,0.006692,0.7,0.3
0.422778,0.636364,0.003364,0.006692,0.75,0.3
0.422778,0.636364,0.003364,0.006692,0.8,0.3
0.422778,0.636364,0.003364,0.006692,0.85,0.3
0.422778,0.636364,0.003364,0.006692,0.9,0.3
0.422778,0.636364,0.003364,0.006692,0.95,0.3
0.422778,0.636364,0.003364,0.006692,1,0.3
0.422778,0.636364,0.003364,0.006692,1.05,0.3
0.423333,0.727273,0.003844,0.007648,1.1,0.3
0.423056,0.666667,0.003844,0.007645,1.15,0.3
0.423056,0.666667,0.003844,0.007645,1.2,0.3
0.423056,0.666667,0.003844,0.007645,1.25,0.3
0.423056,0.666667,0.003844,0.007645,1.3,0.3
0.423333,0.692308,0.004325,0.008596,1.35,0.3
0.423333,0.692308,0.004325,0.008596,1.4,0.3
0.423333,0.692308,0.004325,0.008596,1.45,0.3
0.4225,0.6,0.002883,0.005739,0,0.32
0.4225,0.6,0.002883,0.005739,0.05,0.32
0.4225,0.6,0.002883,0.005739,0.1,0.32
0.4225,0.6,0.002883,0.005739,0.15,0.32
0.4225,0.6,0.002883,0.005739,0.2,0.32
0.4225,0.6,0.002883,0.005739,0.25,0.32
0.4225,0.6,0.002883,0.005739,0.3,0.32
0.4225,0.6,0.002883,0.005739,0.35,0.32
0.4225,0.6,0.002883,0.005739,0.4,0.32
0.4225,0.6,0.002883,0.005739,0.45,0.32
0.4225,0.6,0.002883,0.005739,0.5,0.32
0.4225,0.6,0.002883,0.005739,0.55,0.32
0.4225,0.6,0.002883,0.005739,0.6,0.32
0.4225,0.6,0.002883,0.005739,0.65,0.32
0.422778,0.636364,0.003364,0.006692,0.7,0.32
0.422778,0.636364,0.003364,0.006692,0.75,0.32
0.422778,0.636364,0.003364,0.006692,0.8,0.32
0.422778,0.636364,0.003364,0.006692,0.85,0.32
0.422778,0.636364,0.003364,0.006692,0.9,0.32
0.422778,0.636364,0.003364,0.006692,0.95,0.32
0.423056,0.7,0.003364,0.006695,1,0.32
0.423056,0.7,0.003364,0.006695,1.05,0.32
0.423333,0.727273,0.003844,0.007648,1.1,0.32
0.423333,0.727273,0.003844,0.007648,1.15,0.32
0.423333,0.727273,0.003844,0.007648,1.2,0.32
0.423056,0.666667,0.003844,0.007645,1.25,0.32
